log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
34,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.668096,20,14,48,1,349,66586,0,9,0,3,
35,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.684066,20,14,48,1,349,66586,0,9,0,4,
39,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.705918,20,14,48,1,349,66586,53337,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.710775,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 15:28:19.581295,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:19.597913,20,14,48,2,349,66586,60977,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:28:19.599252,20,14,48,1,349,66586,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 15:28:19.603147,20,14,48,1,349,66586,60982,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:19.607677,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:26.783974,20,14,48,1,349,66586,56086,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 15:28:34.801270,20,14,48,0,349,66586,3369,5,0,15,
37,LTE_RRC_OTA_Packet,2021-11-29 15:28:34.801973,20,14,48,0,349,66586,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 15:28:34.847675,20,14,48,0,349,66586,3456,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 15:28:34.850830,20,14,48,1,349,66586,0,9,0,7,
