log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:10.563094,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-112.4375,-13.1875,-88.875,393,0,-114.375,-17.75,-88.8125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:50.978765,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-123.5,-22.375,-91.375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:27.448050,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.5625,-22.5,-94.25,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:27.648024,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.8125,-22.1875,-93.875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:05.438105,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,439,0,-127.6875,-22.875,-95.75,441,0,-125.1875,-20.375,-95.75,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:54.872910,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-124.0625,-20.9375,-95.375,393,0,-125.1875,-20.75,-95.375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:10.347554,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-128.9375,-22.625,-97.625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:36.555329,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-130.6875,-22.5,-98.9375,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:19.166277,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.125,-16.3125,-90.5625,118,0,-119.625,-19.0,-90.5625,393,0,-120.375,-22.0,-90.5625
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:34:05.743422,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-117.9375,-13.3125,-96.8125,393,0,-127.0625,-22.5,-96.8125,118,0,-122.375,-17.75,-96.8125
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:29.530879,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-121.3125,-21.0,-90.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:29.573000,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-120.625,-21.0625,-91.8125,118,0,-120.5,-20.0,-91.8125,,,,,
