log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:05.045707,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-117.5,-14.75,-89.3125,393,0,-119.8125,-20.6875,-89.3125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:02.957882,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-117.625,-13.5625,-91.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:32.254529,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.5,-21.8125,-94.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:32.256439,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-115.5625,-12.5,-95.3125,393,0,-122.9375,-19.875,-95.25,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:32.454539,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.6875,-21.375,-94.25,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:32.456465,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-115.375,-13.6875,-93.9375,393,0,-121.5,-19.8125,-93.875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:11.460665,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.0625,-22.5625,-95.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:11.462541,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-121.75,-20.125,-93.1875,118,0,-117.8125,-16.125,-93.1875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:05:59.223984,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.5625,-21.6875,-94.875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:22.096396,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.75,-16.1875,-93.875,393,0,-124.1875,-21.625,-93.8125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:07.220361,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-128.9375,-23.875,-95.875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:07.222576,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-119.625,-16.125,-92.1875,393,0,-122.5,-21.6875,-92.1875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:44.182161,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,439,0,-123.625,-21.0,-92.9375,441,0,-125.375,-23.4375,-92.9375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:44.182161,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.75,-18.75,-92.25,393,0,-121.1875,-21.0625,-92.3125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:00.637888,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.6875,-23.3125,-96.3125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:07:00.168174,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.125,-18.5,-91.8125,393,0,-121.3125,-21.6875,-91.875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:13.993809,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-119.5,-17.375,-93.6875,393,0,-123.9375,-22.4375,-93.6875,,,,,
