log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:30.843241,4,1_SCell,977,202,3507,-123.6875,-15.3125,1,0,,393,-125.625,-19.8125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:31.030286,4,PCell,66586,349,3694,-115.6875,-11.6875,1,0,,441,-125.8125,-21.875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:31.990274,4,PCell,66586,349,4654,-116.0,-12.125,1,0,,441,-125.5625,-21.6875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:32.415280,4,PCell,66586,349,5079,-113.625,-13.5,1,0,,441,-126.625,-21.75,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:32.475266,4,1_SCell,977,202,5139,-120.6875,-15.0625,1,0,,393,-123.9375,-18.4375,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:34.425185,4,PCell,66586,349,4210,-115.6875,-12.6875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:34.428272,4,PCell,66586,349,4213,-115.6875,-13.1875,0,0,,,,,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:34.510912,4,1_SCell,977,202,4296,-116.625,-15.125,2,0,,393,-127.6875,-22.4375,118,-126.5,-21.6875,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:34.585225,4,PCell,66586,349,4370,-115.3125,-13.3125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:34.588254,4,PCell,66586,349,4373,-115.3125,-13.75,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:16.103188,4,PCell,66586,349,9247,-116.0625,-12.1875,1,0,,441,-127.3125,-22.1875,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:16.231931,4,1_SCell,977,202,9376,-117.3125,-17.0625,2,0,,118,-122.375,-17.875,393,-124.1875,-19.75,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:31.837903,4,1_SCell,977,202,3062,-118.4375,-13.6875,2,0,,118,-123.125,-20.25,393,-123.8125,-22.3125,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:40.390214,4,PCell,66586,349,2814,-117.9375,-14.8125,1,0,,441,-129.1875,-23.5625,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:40.391832,4,1_SCell,977,202,2816,-116.625,-15.3125,2,0,,118,-123.0,-20.6875,393,-121.9375,-21.625,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:43.275503,4,PCell,66586,349,7139,-114.8125,-14.6875,1,0,,439,-125.25,-22.3125,,,,
80,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:43.344422,4,1_SCell,977,202,7208,-114.375,-12.8125,1,1,,118,-125.4375,-22.0625,,118,1883,512940892797
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:22.345489,4,PCell,66586,349,2370,-115.625,-12.25,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:23.305400,4,PCell,66586,349,3330,-115.4375,-12.0,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:23.506930,4,PCell,66586,349,3532,-115.4375,-12.0,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:23.541859,4,PCell,66586,349,3571,-115.4375,-12.0,0,0,,,,,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:23.568770,4,1_SCell,977,202,3593,-115.9375,-12.8125,2,0,,118,-124.5625,-22.4375,393,-123.0,-20.9375,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:23.570630,4,PCell,66586,349,3595,-116.0625,-12.5625,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:08.830353,4,PCell,66586,349,1974,-114.875,-13.125,1,0,,441,-129.875,-21.5625,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:32.790079,4,PCell,66586,349,4014,-114.75,-14.1875,1,0,,441,-124.375,-22.625,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:32.798992,4,1_SCell,977,202,4023,-116.6875,-12.1875,2,0,,118,-124.0,-18.75,393,-125.5625,-20.375,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:32.990028,4,PCell,66586,349,4214,-115.25,-13.5,1,0,,441,-126.5,-22.1875,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:33.233982,4,1_SCell,977,202,4458,-116.5,-13.4375,2,0,,118,-126.0625,-22.0625,393,-126.1875,-23.25,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:38.759160,4,1_SCell,977,202,1183,-116.375,-15.1875,2,0,,118,-122.375,-17.6875,393,-123.625,-18.9375,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:38.759160,4,PCell,66586,349,1184,-117.125,-15.1875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:38.905829,4,PCell,66586,349,1330,-117.75,-14.0625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:39.009211,4,PCell,66586,349,1434,-117.75,-14.0625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:39.065802,4,PCell,66586,349,1490,-117.75,-14.0625,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:39.350239,4,PCell,66586,349,1774,-115.8125,-16.125,1,0,,441,-121.75,-18.8125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:12.262996,4,PCell,66586,349,5407,-117.0625,-12.0625,1,0,,441,-125.875,-20.9375,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:12.272043,4,1_SCell,977,202,5416,-119.75,-15.4375,2,0,,118,-126.3125,-21.6875,393,-127.75,-21.125,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:02.505810,4,PCell,66586,349,5890,-116.4375,-15.5,0,0,,,,,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:02.527523,4,1_SCell,977,202,5911,-121.0,-13.8125,2,0,,118,-126.5625,-20.1875,393,-126.5625,-19.875,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:02.530203,4,PCell,66586,349,5914,-117.3125,-15.5625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:02.825803,4,PCell,66586,349,6210,-117.3125,-15.5625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:02.830413,4,PCell,66586,349,6214,-116.875,-15.1875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:03.145794,4,PCell,66586,349,6530,-116.875,-15.1875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:03.150106,4,PCell,66586,349,6534,-116.3125,-14.6875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:03.243982,4,PCell,66586,349,6628,-116.3125,-14.6875,0,0,,,,,,,,
68,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:03.314337,4,PCell,66586,349,6698,-116.0,-14.9375,1,1,,441,-127.9375,-23.1875,,441,1985,513554678420
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:47.590194,4,PCell,66586,349,10014,-114.5,-14.0625,1,0,,441,-120.875,-21.875,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:47.591991,4,1_SCell,977,202,10016,-117.75,-15.5,2,0,,118,-124.625,-22.4375,393,-122.625,-21.3125,
