log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:16.103188,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.0,-21.5625,-96.4375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:16.231931,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.0625,-17.75,-96.5,393,0,-123.5625,-19.3125,-96.4375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:31.837903,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-123.125,-20.25,-93.6875,393,0,-123.8125,-22.3125,-93.6875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:31.870788,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.5,-21.125,-94.3125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:40.390214,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-129.5,-23.9375,-96.5625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:40.391832,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.75,-20.8125,-91.5625,393,0,-120.875,-21.5625,-91.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:43.275503,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-125.25,-22.3125,-93.9375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:43.344422,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-114.375,-12.8125,-93.6875,118,0,-125.375,-22.0625,-93.5625,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:23.568770,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-115.9375,-12.8125,-94.4375,118,0,-124.5625,-22.4375,-94.3125,393,0,-123.0,-20.875,-94.3125
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:08.830353,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-131.125,-22.375,-99.625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:32.790079,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.375,-22.625,-92.3125,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:32.798992,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.6875,-12.1875,-96.75,118,0,-124.0,-18.75,-96.5625,393,0,-125.5625,-20.3125,-96.5625
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:32.990028,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.375,-22.0625,-96.25,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:33.233982,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.5,-13.5625,-95.125,118,0,-126.25,-22.4375,-95.0625,393,0,-126.25,-23.5,-94.9375
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:38.759160,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.3125,-17.5,-96.6875,393,0,-123.5625,-18.75,-96.625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:39.350239,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-121.75,-18.8125,-92.0,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:12.262996,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.5,-20.9375,-94.25,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:12.272043,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-119.75,-15.4375,-96.5625,118,0,-126.375,-21.6875,-96.4375,393,0,-127.75,-21.125,-96.4375
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:02.527523,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-121.0,-13.8125,-98.5,118,0,-126.5625,-20.1875,-98.5625,393,0,-126.5625,-19.8125,-98.5625
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:03.314337,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.9375,-23.1875,-95.6875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:47.590194,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-121.0,-21.8125,-90.125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:47.591991,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-124.625,-22.4375,-92.9375,393,0,-122.625,-21.375,-92.9375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:47.790210,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-122.0,-22.0625,-90.9375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:50.919368,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-126.8125,-19.0,-98.75,279,0,-130.125,-22.3125,-98.8125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:50.919368,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.9375,-15.625,-99.5625,393,0,-127.25,-19.25,-99.5625,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:49.266857,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-123.5,-16.3125,-92.5625,393,0,-123.4375,-21.3125,-92.625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:49.323308,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.375,-23.125,-92.125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:31.710273,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.8125,-22.5625,-95.1875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:31.804225,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-122.1875,-15.0,-99.4375,393,0,-125.0,-18.0,-99.25,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:26.950047,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-129.6875,-22.1875,-98.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:26.951842,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.4375,-18.4375,-96.25,343,0,-129.625,-23.3125,-97.8125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:52.204624,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.5625,-23.5,-94.0,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:23.670047,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-131.125,-23.0625,-99.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:23.670047,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-123.0625,-20.75,-94.5,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:23.870042,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-123.125,-22.125,-93.1875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:35.433070,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.9375,-20.8125,-96.125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:22:35.630525,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.4375,-22.9375,-93.1875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:52.550175,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.5625,-21.875,-94.6875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:52.750204,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.6875,-21.875,-94.625,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:53.406996,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.9375,-12.4375,-95.5,393,0,-124.625,-21.5625,-95.3125,118,0,-125.1875,-19.125,-95.3125
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:07.623014,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-114.4375,-10.8125,-95.8125,393,0,-127.4375,-22.5625,-95.5625,118,0,-124.875,-18.75,-95.5625
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:07.750128,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.125,-20.9375,-95.4375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:07.950135,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.1875,-19.9375,-97.375,,,,,,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:08.766956,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-116.0,-12.9375,-95.25,118,0,-125.0625,-17.875,-95.1875,393,0,-121.9375,-19.0625,-95.125
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:34.305752,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-120.75,-19.4375,-92.3125,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:24:34.550020,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.1875,-21.75,-94.4375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:38.449214,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-119.5,-20.75,-90.9375,118,0,-125.25,-24.375,-90.9375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:38.611543,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.6875,-22.625,-95.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:38.711354,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-124.0625,-23.0625,-93.1875,118,0,-123.75,-22.75,-93.25,,,,,
